Student_ID,Name,Gender,Age,Maths,Science,English,Attendance
101,Arjun,Male,20,85,82,78,92
102,Priya,Female,21,92,89,95,96
103,Rahul,Male,20,76,79,74,85
104,Sneha,Female,19,88,91,86,89
105,Kiran,Male,22,67,71,72,78
106,Ananya,Female,20,95,93,90,98
107,Vijay,Male,21,73,75,79,82
108,Meera,Female,19,81,85,88,91
109,Rohit,Male,22,69,68,76,75
110,Divya,Female,20,90,88,92,94
111,Suresh,Male,21,78,80,81,87
112,Pooja,Female,20,84,86,83,90
113,Nikhil,Male,19,91,94,89,97
114,Kavya,Female,22,72,70,75,80
115,Aditya,Male,21,87,83,85,93
